ProductID,ProductName,CategoryName,SalesDate,Region,Country,City,SalesQuantity,UnitPrice,Discount,CustomerID,CustomerName,CustomerEmail,CustomerPhone,TotalRevenue
1,Product 1,Beauty,2021-08-07,South,Madagascar,North Brandonbury,45,502.8,0.07,1,Tami Park,reyesvanessa@gmail.com,553-923-9853,21042.18
2,Product 2,Beauty,2021-11-22,West,Mongolia,East Kevinstad,48,585.27,0.05,2,Phillip Kent,pgonzalez@gmail.com,189.537.0739,26688.311999999998
3,Product 3,Electronics,2021-03-25,South,Libyan Arab Jamahiriya,New David,65,249.14,0.06,3,Sabrina Oliver,mdavis@lam-smith.org,+1-225-820-4890x335,15222.453999999998
4,Product 4,Home,2020-03-18,South,Senegal,Lake John,68,177.34,0.16,4,James Schmidt,joseph15@hotmail.com,677.180.2496,10129.6608
5,Product 5,Sports,2022-12-30,East,Nigeria,Matthewberg,68,860.99,0.2,5,Karen Smith,rollinsanthony@gould-chen.com,674.771.5672x21267,46837.856
6,Product 6,Beauty,2022-09-18,North,Macao,West Timothyfort,10,67.95,0.14,6,Jessica Williams,schang@gmail.com,352-907-9869,584.37
7,Product 7,Beauty,2022-05-19,West,Palau,Hudsonshire,84,475.91,0.29,7,Ebony Cooper,kimberly28@yahoo.com,798.532.5318x86164,28383.2724
8,Product 8,Home,2021-08-28,North,Northern Mariana Islands,West Brooke,22,124.68,0.07,8,Kimberly Obrien,marshallmatthew@reyes-ray.net,879.517.4810x46375,2550.9528
9,Product 9,Beauty,2023-01-24,North,Comoros,East Johnathanfort,37,462.49,0.23,9,Miranda Dorsey,daniel97@flores.com,415.665.6763x323,13176.340100000001
10,Product 10,Home,2022-06-12,West,United States Minor Outlying Islands,West Richardmouth,88,980.16,0.26,10,Garrett Brooks,devans@lynch.biz,(345)279-6294,63828.0192
11,Product 11,Sports,2022-01-19,East,Saint Kitts and Nevis,Nunezmouth,71,429.47,0.17,11,Amanda Davis,gina65@boyd.net,748.819.8488x2026,25308.667100000002
12,Product 12,Clothing,2021-06-21,North,Taiwan,West Matthewville,89,858.55,0.14,12,Kenneth Roman,kathryn42@yahoo.com,4659994775,65713.417
13,Product 13,Sports,2020-09-09,East,Austria,New Sarah,89,126.14,0.18,13,Jackson Snyder,williamsscott@shelton-wright.com,001-936-381-8528x4876,9205.697200000002
14,Product 14,Clothing,2023-06-07,South,Lao People's Democratic Republic,South Jerry,13,278.54,0.13,14,Robert Mcbride,shannon26@mcfarland.info,0519955755,3150.2874
15,Product 15,Home,2023-08-01,East,Iran,Jenniferberg,59,409.75,0.17,15,Bryan Ford,stevenshannah@cole.com,+1-466-355-2349,20065.4575
16,Product 16,Clothing,2020-02-09,South,Isle of Man,North Williamside,66,405.81,0.13,16,Nicholas Stewart,james84@mcclain-parker.com,099-294-6066x416,23301.6102
17,Product 17,Electronics,2021-11-09,South,Faroe Islands,South Miguelhaven,40,674.67,0.12,17,Carla Wilkinson,charleskemp@lopez-morrow.org,6482193805,23748.384
18,Product 18,Sports,2021-02-11,North,Guadeloupe,New Joseburgh,88,351.27,0.21,18,Jose Wood,xbuchanan@wade-garcia.com,520.024.5474,24420.290399999998
19,Product 19,Home,2023-01-09,East,Guam,West Davidshire,47,716.63,0.03,19,Christina Bruce,xblack@yahoo.com,+1-750-256-4058,32671.1617
20,Product 20,Sports,2022-09-13,East,Brazil,Gouldmouth,89,642.8,0.05,20,William Ware,iramirez@hotmail.com,001-142-803-8765,54348.74
21,Product 21,Sports,2022-09-28,South,Morocco,South Paulahaven,82,405.17,0.26,21,Jill Montgomery,cpugh@adams-leonard.com,4439058755,24585.715600000003
22,Product 22,Clothing,2022-03-14,East,Macedonia,Brendafurt,38,437.44,0.23,22,Sandra Christian,dustin18@yahoo.com,001-843-253-4685x14731,12799.494400000001
23,Product 23,Home,2022-05-04,West,Central African Republic,West Hectormouth,26,618.38,0.08,23,Jacqueline Murray,jasonperry@barrera.com,001-195-162-9248x294,14791.6496
24,Product 24,Electronics,2023-01-28,East,Cambodia,New Stevenborough,78,79.34,0.11,24,David Reid,joseph48@yahoo.com,+1-294-462-9535,5507.782800000001
25,Product 25,Electronics,2020-02-05,South,British Indian Ocean Territory (Chagos Archipelago),Liburgh,73,824.18,0.28,25,William Rodriguez,haleyhughes@gmail.com,001-652-436-2329x3832,43318.900799999996
26,Product 26,Home,2022-05-25,South,Kuwait,Port April,10,656.89,0.25,26,Jeffery Jones,betty95@yahoo.com,+1-307-104-7106x925,4926.674999999999
27,Product 27,Beauty,2024-01-07,North,Mali,West Jessica,21,729.08,0.18,27,Rhonda Thomas,kristinaperry@rogers-carrillo.com,829-513-1415x0649,12554.7576
28,Product 28,Sports,2023-02-08,East,Saint Kitts and Nevis,Lake Margaret,81,541.55,0.07,28,James Cannon,mchase@barajas.com,001-757-557-2120,40794.96149999999
29,Product 29,Electronics,2021-11-20,East,Portugal,Port Katrinaport,70,119.37,0.01,29,Tracy Bowen,carrolljessica@sanford-mccall.com,+1-590-682-7818x835,8272.341
30,Product 30,Home,2022-10-14,North,Croatia,New Joshuaberg,80,410.99,0.13,30,Betty Rice MD,jermainebyrd@gmail.com,(689)447-1354x120,28604.904
31,Product 31,Beauty,2023-11-03,South,Yemen,Robertville,48,411.32,0.2,31,Joseph Galloway,rodneyclark@robertson.com,615.646.0347,15794.688000000002
32,Product 32,Home,2023-03-25,West,Cocos (Keeling) Islands,Port Kathrynbury,65,327.83,0.25,32,Heather Williams,oconnorrobert@hotmail.com,001-302-364-3544x2768,15981.712500000001
33,Product 33,Sports,2020-11-17,South,India,East Evan,83,39.65,0.26,33,Jeffrey Duncan,reginaldsolomon@yahoo.com,001-994-271-2700x00154,2435.303
34,Product 34,Clothing,2022-12-03,South,Iran,Watkinsbury,89,739.88,0.01,34,Nathan Warren,bkhan@hotmail.com,(423)504-8877x48872,65190.826799999995
35,Product 35,Sports,2024-04-30,North,Guam,Rossport,50,118.69,0.07,35,Mark Williams,nrivera@gmail.com,370.980.7894x6564,5519.085
36,Product 36,Beauty,2023-09-08,South,Tuvalu,Gomezside,30,610.25,0.1,36,Jennifer Nelson,megan51@ryan-lamb.net,001-554-448-2776x023,16476.75
37,Product 37,Beauty,2020-07-09,South,Belize,Robinsonmouth,20,706.19,0.06,37,Vincent Davis,oking@ashley-mcfarland.info,+1-982-255-8346x52521,13276.372
38,Product 38,Sports,2021-03-31,West,Saint Lucia,North Tyler,20,638.44,0.24,38,Candice Garrett,figueroapaul@hotmail.com,(856)381-8987x567,9704.288
39,Product 39,Home,2021-02-09,South,Mongolia,East Perry,15,959.55,0.23,39,Jennifer Lewis,parrishstephen@ponce.net,4122757992,11082.8025
40,Product 40,Electronics,2021-10-19,South,United States of America,Jamesburgh,40,112.27,0.16,40,Tiffany Brown,robin76@yahoo.com,001-757-189-3844x5604,3772.272
41,Product 41,Sports,2024-03-20,South,Iceland,East Mallory,33,868.5,0.29,41,Christopher Serrano,wmoon@harvey.org,001-994-517-9373x1938,20348.954999999998
42,Product 42,Electronics,2022-06-23,South,Antarctica (the territory South of 60 deg S),Jasonstad,66,38.9,0.04,42,Brendan Knox,theodore16@gmail.com,001-530-117-7387x4237,2464.704
43,Product 43,Electronics,2021-08-06,West,Ghana,Williamsville,10,539.57,0.27,43,Cheyenne Rhodes,lisa36@gmail.com,001-659-202-1765x90475,3938.8610000000003
44,Product 44,Beauty,2023-10-19,East,Uganda,Claytonfurt,58,410.2,0.03,44,Nancy Moody,cochoa@singleton.com,+1-534-430-5526x67248,23077.852
45,Product 45,Electronics,2020-12-28,South,Malaysia,Port Oliviamouth,33,528.94,0.05,45,Sarah Barnett,melanie16@yahoo.com,001-936-520-4657x65200,16582.269
46,Product 46,Sports,2022-10-08,West,Sao Tome and Principe,Smithton,32,371.45,0.21,46,Jennifer Wells,kennethyates@bradley.com,624.593.4898x14373,9390.256
47,Product 47,Beauty,2021-12-04,North,Saint Barthelemy,Port Nicholasburgh,75,198.66,0.03,47,Nicholas Baker,jasonmiller@gmail.com,329-804-9930,14452.515
48,Product 48,Home,2023-09-04,North,Slovakia (Slovak Republic),Port Travisbury,24,28.93,0.17,48,Lisa Dean,larsoncory@hotmail.com,413.039.1198x3523,576.2855999999999
49,Product 49,Clothing,2023-07-06,East,Qatar,East Robertside,36,522.97,0.13,49,Kristine Mayo,allisonpatterson@wilson.com,014.881.9091x6277,16379.4204
50,Product 50,Home,2023-08-15,West,United States of America,East Kimberly,76,844.35,0.22,50,Kyle Graves,umartinez@griffith-roberts.biz,001-644-266-1926x4214,50053.068
51,Product 51,Electronics,2021-05-20,West,Kenya,Allenhaven,56,379.48,0.27,51,Richard Tate,sergio68@brown.net,001-263-066-4889x22686,15513.1424
