RegionName,CountryName,State,City,PostalCode,WarehouseAddress,WarehouseName,EmployeeName,EmployeeEmail,EmployeePhone,EmployeeHireDate,EmployeeJobTitle,CategoryName,ProductName,ProductDescription,ProductStandardCost,Profit,ProductListPrice,CustomerName,CustomerAddress,CustomerCreditLimit,CustomerEmail,CustomerPhone,Status,OrderDate,OrderItemQuantity,PerUnitPrice,TotalItemQuantity,SalesOrderID,SalesOrderDate,SalesOrderStatus,SalesAmount
Jenniferport,Slovenia,Connecticut,Lake Edward,03373,"641 Silva Causeway
Port Rebecca, CO 95610","Johnson, Howard and Arnold",Brian Rojas,michelle58@hotmail.com,022-057-1863x473,2022-11-02,Planning and development surveyor,Toys,Dress,Forward wish claim away like lawyer yeah.,543.23,279.6,1062.72,Rebecca Valdez,"368 Ronald Island
Garrettland, NE 96978",19646.49,ysanchez@gmail.com,+1-481-659-4001,Shipped,2024-04-10,11,293.85,37,d42861fc-d079-4c84-9ac9-e1fb40faf9a4,2022-12-25,Pending,3232.3500000000004
Susanton,Falkland Islands (Malvinas),Florida,South Brianberg,01917,"7576 Vasquez Walk Apt. 902
Lake Baileyburgh, PA 11161",Baker-Price,Bradley Gardner,mariahspencer@yahoo.com,067-921-6826,2021-03-07,Forensic psychologist,Appliances,Blender,Product own make positive.,351.81,27.6,1303.71,James Smith,"312 Brent Creek Apt. 729
Port Charles, WY 74158",11273.4,omendoza@hotmail.com,293.622.7882,Shipped,2023-06-07,15,711.85,35,528da20a-f561-4c32-86f8-979fd49ac02a,2024-03-29,Returned,10677.75
Pittshaven,Honduras,Hawaii,Gallaghershire,51545,"912 Brandon Mountains Suite 388
East Adrian, MN 64615",Crane LLC,Michael Clark,jonesalan@hotmail.com,199.765.1226,2020-07-06,"Development worker, community",Electronics,Tablet,Agree well into.,153.77,481.73,1437.71,Dennis Price,"50016 Jenkins Circles
Austinville, IA 20416",17387.2,dodsonsara@hotmail.com,(601)484-5757,Shipped,2023-11-02,11,1381.21,79,e974a98e-1129-4d3e-9aa8-342ec5cb7336,2023-09-02,Pending,15193.310000000001
New Austintown,Bulgaria,California,Margaretchester,63684,"93342 Katie Locks
Port Erikmouth, PA 17156","Lopez, Knight and Jackson",Michael Mcdaniel,samantha75@jones.com,+1-730-937-1624,2020-02-16,Medical physicist,Appliances,Jeans,Either feel music factor walk.,613.37,281.11,425.17,Casey Clark,"08253 Coleman Haven
Lake Brian, KY 08091",14255.95,ambercannon@berry-anderson.com,783-284-1798x1962,Processing,2023-10-30,20,1414.78,82,2736121b-3c6f-409a-8461-3bf0f0b98c4e,2023-08-03,Returned,28295.6
East Christopherfort,Czech Republic,Alabama,Grantbury,81557,"761 Rivera Corner Apt. 135
New Michelleview, KY 65548",Klein-Gonzalez,Laura Howard,xgreene@gmail.com,001-070-209-8164x29001,2021-07-08,Software engineer,Furniture,Action Figure,Baby far work. Within hit myself such game.,376.26,406.66,612.07,Jon Hogan,"258 Brown Tunnel Suite 384
New Jessicamouth, ND 60046",14287.56,laurie48@gmail.com,(266)737-0458,Processing,2023-10-15,13,1470.78,62,1bfb3528-1ad9-41fb-a5e1-140224af1761,2023-08-31,Pending,19120.14
Ambershire,South Georgia and the South Sandwich Islands,West Virginia,East Claudiahaven,25823,"44699 Osborne Extensions
South Kaylaport, MI 41557",Casey and Sons,Carolyn Navarro,jennifer02@bennett.com,992-689-2103x973,2021-09-08,Financial controller,Electronics,Bed,Despite prove purpose federal.,72.92,372.34,90.65,Gregory Hughes,"0351 Brittany Loaf Suite 557
East Davidchester, WI 51629",11275.86,kelly77@allen-white.com,525.848.7753,Cancelled,2024-06-10,3,1287.71,72,e977abe4-5dec-4263-8a14-133f888ec668,2023-08-14,Returned,3863.13
Tinaborough,Eritrea,Delaware,Andrewmouth,21672,"9275 Callahan Mews
Sherrymouth, KY 38215",Harper-Stephenson,Sheila Henderson,stevensjoan@mccarty.org,960.112.0242,2023-07-11,Museum/gallery curator,Electronics,Smartwatch,Each learn right yourself.,276.42,431.14,521.64,Connie Rogers DVM,"89845 Nicholas Haven Apt. 857
Danieltown, ND 93257",15852.07,pauljessica@yahoo.com,948.128.7767x094,Delivered,2023-02-24,20,345.03,92,63e7befe-175d-4381-a595-d181899d3ac6,2024-01-30,Returned,6900.599999999999
Maryville,Mauritius,Kentucky,Port Matthewburgh,01292,"PSC 5550, Box 0974
APO AA 98207","Wright, Davis and Cameron",Kimberly Morris,carteralexa@holland.com,091-374-7990x80326,2024-03-12,Drilling engineer,Appliances,Chair,Reality itself hotel region.,475.78,467.37,738.45,Kayla Hutchinson,"7753 Lewis Mill Apt. 259
Butlershire, MO 62697",17113.1,rossmichele@gmail.com,752.994.5188x71562,Cancelled,2024-04-03,13,141.63,95,c62368ac-4639-4bfa-88e3-3a0c456ace10,2023-12-05,Pending,1841.19
Port Jeremy,Australia,Utah,Davidhaven,56672,"341 Campbell Via
Anthonymouth, MO 76265",Jordan Inc,Mr. Jordan Campbell,jessicarussell@reynolds-novak.com,110-278-7094x020,2019-10-14,"Engineer, building services",Furniture,Blender,Growth account yeah very hand we suggest.,537.44,343.21,512.64,Luis Martinez,"PSC 6218, Box 2663
APO AP 41578",10685.14,martinezrobin@solis-thomas.com,535.065.4205x439,Delivered,2023-08-10,16,978.53,30,b0c84640-54d7-4b45-a35b-9b77f9ce2cd4,2024-02-29,Completed,15656.48
Clarkton,Haiti,Indiana,North Jamesbury,68345,"260 Bailey Falls Apt. 356
Moraland, GA 01777","Brooks, Walker and Winters",Christopher Garrison,ilewis@hotmail.com,+1-776-863-7706x817,2024-06-02,Retail merchandiser,Electronics,Bed,Wish PM bank decision operation. Those eight his.,210.84,306.23,831.89,Joshua Preston,"9150 Christine Corner
Katherinebury, DE 12240",6026.23,fharris@herrera.info,6218535989,Cancelled,2024-04-13,6,97.78,42,1f38e76d-06c1-497f-b1cf-460993fbc250,2022-12-31,Completed,586.6800000000001
